dt,sigma_x,sigma_y,sigma_z,z
0.5,8413.44692704414,3475.3978218157376,10000.000017835024,426
1.0,5734.273999458819,7261.673758109356,10000.000020491432,426
9.999999999999999e-05,7017.037177890903,7016.568776588819,10000.0000237583,451
0.0005,6878.411056421222,6873.769693332252,10000.00002345875,451
0.001,6783.144645492048,6782.447912739596,10000.000023199967,451
0.005,6597.463200853541,6612.978185067704,10000.000022640197,451
0.01,6551.15167053691,6581.825749776041,10000.000022586784,451
0.09999999999999999,6542.683781205347,6529.793108092297,10000.00002293414,451
0.5,6031.26938364439,7177.8659349031,10000.000011868085,451
1.0,3101.985296297796,8905.80761463874,10000.000022604265,451
9.999999999999999e-05,7030.869389523029,7031.978258286014,10000.00002366795,476
0.0005,6924.98074251128,6927.087437802234,10000.000023498444,476
0.001,6851.029689517051,6856.775029436034,10000.00002322781,476
0.005,6710.125919944138,6712.163183056015,10000.000022893668,476
0.01,6743.1998637517445,6614.9788074311655,10000.000023099816,476
0.09999999999999999,7125.099558240794,6151.018125829505,10000.000024449157,476
0.5,6787.730750469736,6619.127077663875,10000.000023193475,476
1.0,6741.605727267736,6670.629152766917,10000.000028812989,476
